rounded_longitude,rounded_latitude,collision_date,num_collisions
-74.7,40.6,2017-03-08,1
-74.7,40.6,2017-06-11,1
-74.7,40.6,2018-01-09,1
-74.7,40.6,2018-01-13,1
-74.7,40.6,2017-04-13,1
-74.7,40.6,2017-05-10,1
-74.7,40.6,2018-06-26,1
-74.3,40.5,2012-07-30,1
-74.3,40.5,2013-03-30,1
-74.3,40.5,2013-12-24,1
-74.3,40.5,2018-11-24,1
-74.3,40.5,2017-05-31,1
-74.3,40.5,2017-01-11,2
-74.3,40.5,2023-10-15,1
-74.3,40.5,2014-07-19,1
-74.3,40.5,2015-03-15,1
-74.3,40.5,2018-12-24,1
-74.3,40.5,2022-11-25,1
-74.3,40.5,2021-03-01,1
-74.3,40.5,2014-04-11,1
-74.3,40.5,2023-04-11,1
-74.3,40.5,2021-08-13,1
-74.3,40.5,2016-09-05,1
-74.3,40.5,2021-10-20,1
-74.3,40.5,2021-04-12,1
-74.3,40.5,2020-10-21,1
-74.3,40.5,2018-08-25,1
-74.3,40.5,2017-12-22,1
-74.3,40.5,2014-03-02,2
-74.3,40.5,2023-12-16,1
-74.3,40.5,2021-07-17,1
-74.3,40.5,2017-12-14,1
-74.3,40.5,2019-05-01,1
-74.3,40.5,2021-09-21,1
-74.3,40.5,2024-02-13,3
-74.3,40.5,2020-09-23,1
-74.3,40.5,2012-07-14,1
-74.3,40.5,2014-05-11,1
-74.3,40.5,2021-09-19,1
-74.3,40.5,2019-09-09,1
-74.3,40.5,2019-06-24,1
-74.3,40.5,2016-05-17,1
-74.3,40.5,2020-05-08,1
-74.3,40.5,2019-09-20,1
-74.3,40.5,2016-09-13,1
-74.3,40.5,2024-09-26,1
-74.3,40.5,2018-07-20,1
-74.3,40.5,2021-07-21,1
-74.3,40.5,2018-03-07,1
-74.3,40.5,2013-12-26,1
-74.3,40.5,2014-02-15,1
-74.3,40.5,2013-11-14,1
-74.3,40.5,2015-08-08,1
-74.3,40.5,2013-02-16,1
-74.3,40.5,2024-10-22,1
-74.3,40.5,2018-01-12,1
-74.3,40.5,2014-12-19,1
-74.3,40.5,2015-06-17,1
-74.3,40.5,2022-05-29,1
-74.3,40.5,2019-04-04,1
-74.3,40.5,2014-06-10,1
-74.3,40.5,2018-05-22,1
-74.3,40.5,2016-02-16,1
-74.3,40.5,2018-10-04,1
-74.3,40.5,2016-01-25,2
-74.3,40.5,2024-08-27,1
-74.3,40.5,2021-09-24,1
-74.3,40.5,2017-07-26,1
-74.3,40.5,2013-06-19,1
-74.3,40.5,2013-10-20,1
-74.3,40.5,2018-08-04,1
-74.3,40.5,2012-08-14,1
-74.3,40.5,2015-12-06,1
-74.3,40.5,2017-07-21,1
-74.3,40.5,2016-12-25,1
-74.3,40.5,2014-09-17,1
-74.3,40.5,2016-08-29,1
-74.3,40.5,2022-03-12,1
-74.3,40.5,2014-07-21,1
-74.3,40.5,2024-07-20,1
-74.3,40.5,2022-05-25,1
-74.3,40.5,2022-10-08,1
-74.3,40.5,2022-04-04,1
-74.3,40.5,2021-11-19,1
-74.3,40.5,2016-12-14,1
-74.3,40.5,2014-06-13,1
-74.3,40.5,2023-01-05,1
-74.3,40.5,2014-10-11,1
-74.3,40.5,2015-01-01,1
-74.3,40.5,2013-06-22,1
-74.3,40.5,2014-12-05,1
-74.3,40.5,2024-05-20,1
-74.3,40.5,2018-04-01,1
-74.3,40.5,2014-11-20,1
-74.3,40.5,2021-06-17,1
-74.3,40.5,2018-09-04,1
-74.3,40.5,2020-03-28,1
-74.3,40.5,2017-11-19,1
-74.3,40.5,2012-09-13,1
-74.3,40.5,2023-12-26,1
-74.3,40.5,2021-03-24,1
-74.3,40.5,2018-10-09,1
-74.3,40.5,2015-02-15,1
-74.2,40.5,2018-12-21,11
-74.2,40.5,2018-05-29,6
-74.2,40.5,2018-08-16,5
-74.2,40.5,2020-01-21,4
-74.2,40.5,2018-07-21,3
-74.2,40.5,2015-09-12,7
-74.2,40.5,2020-03-03,4
-74.2,40.5,2017-10-29,4
-74.2,40.5,2018-05-28,2
-74.2,40.5,2015-07-16,4
-74.2,40.5,2020-01-03,2
-74.2,40.5,2018-07-20,5
-74.2,40.5,2017-03-15,5
-74.2,40.5,2015-06-05,7
-74.2,40.5,2023-06-08,1
-74.2,40.5,2021-11-05,1
-74.2,40.5,2017-11-07,7
-74.2,40.5,2024-04-12,1
-74.2,40.5,2016-02-28,2
-74.2,40.5,2018-09-05,10
-74.2,40.5,2013-10-12,3
-74.2,40.5,2023-07-20,1
-74.2,40.5,2016-12-16,10
-74.2,40.5,2017-01-06,5
-74.2,40.5,2017-06-30,8
-74.2,40.5,2020-10-12,2
-74.2,40.5,2018-11-10,9
-74.2,40.5,2019-08-24,4
-74.2,40.5,2018-07-02,6
-74.2,40.5,2020-05-05,6
-74.2,40.5,2018-03-18,6
-74.2,40.5,2016-10-12,4
-74.2,40.5,2022-10-30,2
-74.2,40.5,2019-01-18,5
-74.2,40.5,2017-07-21,4
-74.2,40.5,2017-01-09,5
-74.2,40.5,2022-10-01,3
-74.2,40.5,2014-04-12,7
-74.2,40.5,2018-05-24,6
-74.2,40.5,2013-07-19,3
-74.2,40.5,2015-09-08,2
-74.2,40.5,2019-04-07,2
-74.2,40.5,2018-07-14,6
-74.2,40.5,2013-02-23,5
-74.2,40.5,2017-05-30,3
-74.2,40.5,2018-02-03,2
-74.2,40.5,2021-07-23,5
-74.2,40.5,2017-12-29,4
-74.2,40.5,2019-08-23,3
-74.2,40.5,2022-08-21,3
-74.2,40.5,2016-07-11,6
-74.2,40.5,2015-12-10,7
-74.2,40.5,2012-12-29,3
-74.2,40.5,2021-11-17,4
-74.2,40.5,2016-07-10,7
-74.2,40.5,2013-06-12,6
-74.2,40.5,2012-07-14,4
-74.2,40.5,2013-03-03,4
-74.2,40.5,2024-02-13,3
-74.2,40.5,2015-10-29,4
-74.2,40.5,2021-02-02,2
-74.2,40.5,2024-12-03,3
-74.2,40.5,2023-06-26,1
-74.2,40.5,2012-12-15,3
-74.2,40.5,2023-02-17,4
-74.2,40.5,2013-11-27,4
-74.2,40.5,2018-01-09,3
-74.2,40.5,2018-10-17,3
-74.2,40.5,2015-05-09,3
-74.2,40.5,2013-10-17,4
-74.2,40.5,2014-09-05,9
-74.2,40.5,2015-03-01,10
-74.2,40.5,2013-01-07,4
-74.2,40.5,2022-09-20,3
-74.2,40.5,2017-04-05,5
-74.2,40.5,2024-09-13,3
-74.2,40.5,2016-07-22,5
-74.2,40.5,2014-06-26,5
-74.2,40.5,2015-06-13,10
-74.2,40.5,2013-09-06,4
-74.2,40.5,2018-08-29,5
-74.2,40.5,2013-10-20,5
-74.2,40.5,2022-04-04,1
-74.2,40.5,2012-12-03,3
-74.2,40.5,2020-09-05,1
-74.2,40.5,2014-01-17,7
-74.2,40.5,2013-01-20,2
-74.2,40.5,2016-11-16,4
-74.2,40.5,2019-10-29,2
-74.2,40.5,2012-08-30,10
-74.2,40.5,2019-12-10,4
-74.2,40.5,2017-07-19,9
-74.2,40.5,2015-03-20,5
-74.2,40.5,2014-11-15,4
-74.2,40.5,2018-12-22,9
-74.2,40.5,2024-03-27,2
-74.2,40.5,2014-02-03,13
-74.2,40.5,2012-12-07,5
-74.2,40.5,2012-10-09,5
-74.2,40.5,2018-08-15,7
-74.2,40.5,2015-08-26,8
-74.2,40.5,2017-01-07,6
-74.2,40.5,2019-03-30,2
-74.2,40.5,2013-03-15,5
-74.2,40.5,2013-11-25,9
-74.2,40.5,2015-04-01,6
-74.2,40.5,2013-02-22,6
-74.2,40.5,2023-02-18,3
-74.2,40.5,2012-09-30,6
-74.2,40.5,2020-08-24,1
-74.2,40.5,2014-10-05,6
-74.2,40.5,2017-11-03,9
-74.2,40.5,2018-08-10,3
-74.2,40.5,2021-02-13,3
-74.2,40.5,2024-01-30,1
-74.2,40.5,2012-12-05,2
-74.2,40.5,2024-08-03,3
-74.2,40.5,2024-03-04,3
-74.2,40.5,2022-08-12,3
-74.2,40.5,2022-07-02,3
-74.2,40.5,2023-10-13,1
-74.2,40.5,2024-11-06,5
-74.2,40.5,2014-01-04,2
-74.2,40.5,2020-08-05,3
-74.2,40.5,2017-06-27,3
-74.2,40.5,2015-08-05,5
-74.2,40.5,2018-06-10,3
-74.2,40.5,2022-08-30,2
-74.2,40.5,2018-03-29,3
-74.2,40.5,2018-09-07,4
-74.2,40.5,2018-05-11,12
-74.2,40.5,2022-02-05,3
-74.2,40.5,2013-04-09,4
-74.2,40.5,2013-01-03,3
-74.2,40.5,2020-01-29,3
-74.2,40.5,2021-06-10,1
-74.2,40.5,2022-11-30,3
-74.2,40.5,2017-07-07,5
-74.2,40.5,2013-08-22,6
-74.2,40.5,2022-07-24,4
-74.2,40.5,2013-10-16,3
-74.2,40.5,2024-03-11,2
-74.2,40.5,2021-08-03,2
-74.2,40.5,2018-06-26,6
-74.2,40.5,2014-06-23,7
-74.2,40.5,2017-11-23,5
-74.2,40.5,2017-10-13,5
-74.2,40.5,2016-09-19,4
-74.2,40.5,2014-03-12,9
-74.2,40.5,2013-04-22,3
-74.2,40.5,2019-12-06,3
-74.2,40.5,2014-07-21,7
-74.2,40.5,2012-07-27,8
-74.2,40.5,2017-11-12,7
-74.2,40.5,2023-10-27,1
-74.2,40.5,2018-04-11,6
-74.2,40.5,2018-09-25,4
-74.2,40.5,2024-11-10,2
-74.2,40.5,2012-11-07,3
-74.2,40.5,2021-11-01,2
-74.2,40.5,2015-07-11,3
-74.2,40.5,2017-06-16,4
-74.2,40.5,2022-08-27,3
-74.2,40.5,2014-03-11,6
-74.2,40.5,2012-10-27,4
-74.2,40.5,2016-02-22,2
-74.2,40.5,2012-09-25,3
-74.2,40.5,2023-06-13,3
-74.2,40.5,2016-06-22,7
-74.2,40.5,2022-03-16,2
-74.2,40.5,2014-08-20,4
-74.2,40.5,2024-12-02,4
-74.2,40.5,2018-08-11,6
-74.2,40.5,2023-11-15,3
-74.2,40.5,2023-11-12,1
-74.2,40.5,2013-12-20,9
-74.2,40.5,2024-06-11,2
-74.2,40.5,2015-01-31,4
-74.2,40.5,2014-04-13,4
-74.2,40.5,2014-03-27,7
-74.2,40.5,2015-05-24,1
-74.2,40.5,2014-03-25,3
-74.2,40.5,2015-07-01,2
