"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS","day_month"
"1",5,2021,1,13,2021-01-13,38.9,22.9,1016.8,8.9,3,8,17.1,44.1,33.1,0,0,0,245,"13-01"
"2",6,2014,1,30,2014-01-30,21.2,0.2,1027.9,10,3.1,8.9,18.1,30,14,0,2,0,657,"30-01"
"3",3,2018,1,22,2018-01-22,45.1,37,1021.1,7,3.2,8,14,50,41,0.01,0,0,559,"22-01"
"4",7,2018,1,26,2018-01-26,30.7,4.8,1037.1,10,3.2,8,14,37.9,23,0,0,0,677,"26-01"
"5",6,2024,1,25,2024-01-25,51.8,48,1020.9,5.2,3.3,7,14,59,37.9,0.19,0,0,252,"25-01"
"6",1,2024,1,27,2024-01-27,45.3,38.9,1021.3,8.3,3.3,9.9,32.1,48.9,42.1,0.03,0,0,243,"27-01"
"7",3,2015,1,12,2015-01-12,36.9,23.7,1029.2,6.6,3.3,8.9,15,37.9,35.1,0.01,1.2,0,580,"12-01"
"8",3,2013,1,28,2013-01-28,31.8,19,1029.1,6.9,3.5,8.9,18.1,34,28.9,0,1.2,0,507,"28-01"
"9",3,2022,1,31,2022-01-31,25,5.6,1025.3,10,3.5,6,14,30.9,12,0,7.1,0,312,"31-01"
"10",5,2018,1,3,2018-01-03,21.6,2.1,1025.4,10,3.5,8,24.1,30,12.9,0,0,0,645,"03-01"
"11",6,2013,1,3,2013-01-03,28.4,14.1,1020.6,10,3.7,8,15,32,24.1,0,0,0,549,"03-01"
"12",5,2013,1,9,2013-01-09,43.8,30.8,1026.3,7.8,3.7,9.9,15.9,48.9,39,0,0,0,487,"09-01"
"13",2,2017,1,22,2017-01-22,44.5,43.6,1006.9,3.4,3.7,9.9,17.1,48.9,41,0,0,1,411,"22-01"
"14",7,2022,1,28,2022-01-28,30.6,17.8,1021.2,6.6,3.7,8,17.1,32,17.1,0,0,0,283,"28-01"
"15",7,2020,1,3,2020-01-03,46.6,38.6,1009.7,8.1,3.7,6,15,48.9,33.1,0.06,0,0,456,"03-01"
"16",4,2017,1,17,2017-01-17,40,30.4,1024.1,6.6,3.8,9.9,17.1,43,30,0,0,0,657,"17-01"
"17",7,2016,1,15,2016-01-15,41.2,27.5,1012,9.5,3.8,8,15,51.1,21.9,0,0,0,722,"15-01"
"18",2,2014,1,5,2014-01-05,30.3,21.9,1025.6,6.4,3.8,7,15,36,27,0,5.9,1,320,"05-01"
"19",5,2024,1,31,2024-01-31,36.6,29,1020.4,9.5,3.8,8,15,39.9,33.8,0,0,0,244,"31-01"
"20",2,2018,1,28,2018-01-28,51.2,42.8,1023.9,9,3.8,8,18.1,55.9,48,0.14,0,0,412,"28-01"
"21",6,2021,1,21,2021-01-21,32.3,14.3,1010.8,10,3.9,9.9,20,43,25,0.02,0,0,251,"21-01"
"22",3,2013,1,14,2013-01-14,52.5,45.4,1016.8,5.9,3.9,8.9,15.9,72,48,0,0,1,542,"14-01"
"23",5,2020,1,15,2020-01-15,45.2,35.4,1020.8,7.2,4,9.9,17.1,50,39,0.07,0,0,508,"15-01"
"24",1,2017,1,21,2017-01-21,42.9,41,1011.5,5.3,4,7,14,48.9,39.9,0.1,0,0,475,"21-01"
"25",4,2024,1,9,2024-01-09,41.7,31.2,1024.4,8.5,4,13,29.9,51.1,36,0,0,0,279,"09-01"
"26",4,2017,1,10,2017-01-10,27.7,15.3,1035.5,10,4,8,14,37.9,14,0,3.1,0,597,"10-01"
