"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS","day_month"
"1",6,2014,"1",30,2014-01-30,21.2,0.2,1027.9,10,3.1,8.9,18.1,30,14,0,2,0,657,"30-01"
"2",3,2018,"1",22,2018-01-22,45.1,37,1021.1,7,3.2,8,14,50,41,0.01,0,0,559,"22-01"
"3",7,2018,"1",26,2018-01-26,30.7,4.8,1037.1,10,3.2,8,14,37.9,23,0,0,0,677,"26-01"
"4",3,2015,"1",12,2015-01-12,36.9,23.7,1029.2,6.6,3.3,8.9,15,37.9,35.1,0.01,1.2,0,580,"12-01"
"5",3,2013,"1",28,2013-01-28,31.8,19,1029.1,6.9,3.5,8.9,18.1,34,28.9,0,1.2,0,507,"28-01"
"6",5,2018,"1",3,2018-01-03,21.6,2.1,1025.4,10,3.5,8,24.1,30,12.9,0,0,0,645,"03-01"
"7",6,2013,"1",3,2013-01-03,28.4,14.1,1020.6,10,3.7,8,15,32,24.1,0,0,0,549,"03-01"
"8",5,2013,"1",9,2013-01-09,43.8,30.8,1026.3,7.8,3.7,9.9,15.9,48.9,39,0,0,0,487,"09-01"
"9",2,2017,"1",22,2017-01-22,44.5,43.6,1006.9,3.4,3.7,9.9,17.1,48.9,41,0,0,1,411,"22-01"
"10",4,2017,"1",17,2017-01-17,40,30.4,1024.1,6.6,3.8,9.9,17.1,43,30,0,0,0,657,"17-01"
"11",7,2016,"1",15,2016-01-15,41.2,27.5,1012,9.5,3.8,8,15,51.1,21.9,0,0,0,722,"15-01"
"12",2,2014,"1",5,2014-01-05,30.3,21.9,1025.6,6.4,3.8,7,15,36,27,0,5.9,1,320,"05-01"
"13",2,2018,"1",28,2018-01-28,51.2,42.8,1023.9,9,3.8,8,18.1,55.9,48,0.14,0,0,412,"28-01"
"14",3,2013,"1",14,2013-01-14,52.5,45.4,1016.8,5.9,3.9,8.9,15.9,72,48,0,0,1,542,"14-01"
"15",1,2017,"1",21,2017-01-21,42.9,41,1011.5,5.3,4,7,14,48.9,39.9,0.1,0,0,475,"21-01"
"16",4,2017,"1",10,2017-01-10,27.7,15.3,1035.5,10,4,8,14,37.9,14,0,3.1,0,597,"10-01"
"17",1,2014,"1",4,2014-01-04,15.8,-1.4,1031,10,4,8,17.1,28,8.1,0.02,5.9,0,418,"04-01"
"18",1,2017,"1",14,2017-01-14,31.1,16.4,1038.1,8.4,4.1,8,15,35.1,28,0,0,1,495,"14-01"
"19",6,2016,"1",28,2016-01-28,37,19.3,1015.4,10,4.1,12,15.9,46.9,32,0,9.1,0,681,"28-01"
"20",4,2015,"1",6,2015-01-06,21,4.8,1026.7,7.3,4.2,9.9,22,27,19,0,0,0,777,"06-01"
"21",4,2013,"1",29,2013-01-29,40.3,35.3,1018.2,5.3,4.3,8,14,48,34,0.22,1.2,0,542,"29-01"
"22",4,2018,"1",23,2018-01-23,46.7,43.4,1008.5,4.4,4.4,11.1,19,60.1,37.9,0.02,0,1,531,"23-01"
"23",7,2017,"1",6,2017-01-06,30.2,16,1016.5,8,4.4,8,15,34,27,0.04,0,1,600,"06-01"
"24",3,2014,"1",13,2014-01-13,42.7,29.3,1018,9.8,4.4,9.9,21,54,37,0.05,0,0,568,"13-01"
"25",5,2018,"1",17,2018-01-17,33.6,29.9,1025.3,6.4,4.5,9.9,15.9,36,25,0,0,0,611,"17-01"
"26",3,2017,"1",9,2017-01-09,18.6,3.1,1037.9,10,4.6,8,17.1,25,14,0,3.9,0,669,"09-01"
"27",5,2013,"1",16,2013-01-16,34.2,30,1018.6,5.4,4.6,12,14,37.9,32,0.63,0,0,578,"16-01"
"28",4,2016,"1",12,2016-01-12,32.2,11.5,1013.5,10,4.6,9.9,24.1,44.1,25,0,0,0,637,"12-01"
"29",4,2014,"1",14,2014-01-14,48.3,40,1009.4,8.5,4.7,8.9,18.1,52,37,0,0,0,559,"14-01"
"30",6,2013,"1",17,2013-01-17,39.2,28,1015.6,9.7,4.9,8,15.9,43,36,0.09,0,0,491,"17-01"
"31",3,2017,"1",30,2017-01-30,34.6,13.9,1007.9,10,4.9,9.9,15.9,43,30.9,0,0,0,545,"30-01"
"32",7,2014,"1",31,2014-01-31,30.7,9.9,1021.2,10,5,8.9,15.9,39,16,0,1.2,0,560,"31-01"
"33",2,2017,"1",1,2017-01-01,44.8,22.9,1017.9,10,5,9.9,21,48,43,0,0,0,485,"01-01"
"34",6,2016,"1",21,2016-01-21,30.9,12.5,1019.7,10,5,8.9,19,37,26.1,0,0,0,666,"21-01"
"35",1,2015,"1",3,2015-01-03,35.5,22.4,1032.6,7.6,5,8.9,14,42.1,33.1,0,0,0,456,"03-01"
"36",6,2016,"1",14,2016-01-14,27.9,8.6,1014.2,10,5.1,8.9,17.1,37,21.9,0,0,0,597,"14-01"
"37",4,2016,"1",26,2016-01-26,41.4,26.9,1018.9,9.8,5.1,8.9,25.1,48,28,0,18.9,0,734,"26-01"
"38",4,2015,"1",20,2015-01-20,37.5,20.2,1012.3,10,5.1,8,17.1,42.1,34,0,0,0,500,"20-01"
"39",6,2017,"1",26,2017-01-26,49.2,34.4,997.8,9.8,5.1,15,27,54,45,0,0,0,563,"26-01"
"40",3,2018,"1",8,2018-01-08,22.5,7.7,1024.3,9.6,5.1,9.9,24.1,30,5,0,5.9,0,720,"08-01"
"41",5,2014,"1",1,2014-01-01,28.2,10.7,1026.8,10,5.1,8.9,20,33.1,21,0,0,0,399,"01-01"
"42",1,2018,"1",27,2018-01-27,42.6,28.2,1031.8,10,5.1,9.9,18.1,55.9,26.1,0,0,0,510,"27-01"
"43",2,2015,"1",4,2015-01-04,45.4,42.3,1010.6,5.8,5.1,8.9,19,55.9,33.1,0.89,0,0,381,"04-01"
"44",3,2013,"1",21,2013-01-21,29.8,9.3,1016.1,10,5.1,11.1,22.9,39.9,26.1,0,0,0,355,"21-01"
"45",4,2013,"1",8,2013-01-08,40.7,25.4,1028.5,9.3,5.1,8.9,22,48,35.1,0,0,0,513,"08-01"
"46",5,2017,"1",11,2017-01-11,45.8,37.8,1024.9,9.5,5.3,12,20,52,37.9,0.26,3.1,0,629,"11-01"
"47",7,2016,"1",22,2016-01-22,25.9,5.1,1023.7,10,5.3,12,17.1,36,21,0,0,0,702,"22-01"
"48",5,2013,"1",2,2013-01-02,27.1,10.5,1016.8,10,5.3,9.9,19,33.1,21.9,0,0,0,480,"02-01"
"49",2,2013,"1",6,2013-01-06,38.3,25,1019.5,8.5,5.3,8.9,17.1,46,34,0,0,0,393,"06-01"
"50",6,2015,"1",1,2015-01-01,31.4,8.1,1019.6,10,5.3,9.9,25.1,39,27,0,0,0,395,"01-01"
"51",2,2015,"1",11,2015-01-11,25.7,3,1035.9,10,5.5,9.9,20,37,16,0,1.2,0,341,"11-01"
"52",7,2016,"1",29,2016-01-29,38.3,21.7,1001,9.5,5.5,12,22.9,42.1,32,0,5.9,0,645,"29-01"
"53",1,2015,"1",24,2015-01-24,35.4,29.3,1005.6,4.2,5.5,11.1,17.1,39,28,0.66,0,1,428,"24-01"
"54",1,2016,"1",16,2016-01-16,46,37.3,999.9,8.6,5.5,11.1,19,52,34,0.21,0,0,563,"16-01"
