"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS","day_month"
"1",5,2021,"1",13,2021-01-13,38.9,22.9,1016.8,8.9,3,8,17.1,44.1,33.1,0,0,0,245,"13-01"
"2",6,2024,"1",25,2024-01-25,51.8,48,1020.9,5.2,3.3,7,14,59,37.9,0.19,0,0,252,"25-01"
"3",1,2024,"1",27,2024-01-27,45.3,38.9,1021.3,8.3,3.3,9.9,32.1,48.9,42.1,0.03,0,0,243,"27-01"
"4",3,2022,"1",31,2022-01-31,25,5.6,1025.3,10,3.5,6,14,30.9,12,0,7.1,0,312,"31-01"
"5",7,2022,"1",28,2022-01-28,30.6,17.8,1021.2,6.6,3.7,8,17.1,32,17.1,0,0,0,283,"28-01"
"6",7,2020,"1",3,2020-01-03,46.6,38.6,1009.7,8.1,3.7,6,15,48.9,33.1,0.06,0,0,456,"03-01"
"7",5,2024,"1",31,2024-01-31,36.6,29,1020.4,9.5,3.8,8,15,39.9,33.8,0,0,0,244,"31-01"
"8",6,2021,"1",21,2021-01-21,32.3,14.3,1010.8,10,3.9,9.9,20,43,25,0.02,0,0,251,"21-01"
"9",5,2020,"1",15,2020-01-15,45.2,35.4,1020.8,7.2,4,9.9,17.1,50,39,0.07,0,0,508,"15-01"
"10",4,2024,"1",9,2024-01-09,41.7,31.2,1024.4,8.5,4,13,29.9,51.1,36,0,0,0,279,"09-01"
"11",1,2020,"1",18,2020-01-18,23.9,6.5,1034.3,7.6,4,12,22,34,19.9,0,0,1,774,"18-01"
"12",4,2020,"1",21,2020-01-21,25.1,5,1029.7,10,4.1,8,15,33.1,19.9,0,0,0,556,"21-01"
"13",2,2021,"1",10,2021-01-10,34.1,16.8,1019.9,10,4.1,8.9,15.9,41,24.1,0,0,0,177,"10-01"
"14",2,2022,"1",2,2022-01-02,53.2,50.6,1002.9,5.8,4.1,8.9,19,59,46,0.83,0,0,180,"02-01"
"15",6,2023,"1",12,2023-01-12,42.1,35.4,1020.7,9.4,4.2,8.9,15,54,35.1,0.01,0,0,280,"12-01"
"16",6,2020,"1",30,2020-01-30,31.3,14.3,1024.8,10,4.2,8,15,37.9,25,0,0,0,525,"30-01"
"17",5,2022,"1",5,2022-01-05,37.5,29.1,1018.3,8.5,4.2,12,20,46.9,19,0.03,0,0,306,"05-01"
"18",1,2024,"1",6,2024-01-06,34.2,21.5,1021.5,8.3,4.2,11.1,19,37.9,26.1,0,0,1,234,"06-01"
"19",7,2023,"1",6,2023-01-06,45.1,40.4,1014.8,6.9,4.3,8,14,50,42.1,0.26,0,0,234,"06-01"
"20",2,2023,"1",29,2023-01-29,48.8,29.2,1023.7,10,4.3,8.9,17.1,53.1,36,0,0,0,215,"29-01"
"21",6,2023,"1",19,2023-01-19,42.7,34.6,1015,7.5,4.3,8.9,15.9,53.1,39.9,0.54,0,0,298,"19-01"
"22",5,2023,"1",25,2023-01-25,38.4,25.9,1024,8.7,4.4,8.9,17.1,46,35.1,0,0,0,256,"25-01"
"23",4,2024,"1",30,2024-01-30,36.3,24.5,1021.1,10,4.4,8.9,22.9,39.9,35.1,0.05,0,0,205,"30-01"
"24",3,2023,"1",9,2023-01-09,39.6,27.7,1015.6,9.4,4.5,8.9,15,44.1,33.1,0.01,0,0,242,"09-01"
"25",4,2020,"1",7,2020-01-07,41.2,20.3,1016.2,10,4.6,8.9,19,45,32,0,0,0,408,"07-01"
"26",5,2022,"1",19,2022-01-19,37.4,19.8,1018.6,10,4.7,8.9,22.9,48.9,28,0,0,0,255,"19-01"
"27",5,2022,"1",12,2022-01-12,27.9,9.5,1025,10,4.7,12,21,39.9,15.1,0,0,0,250,"12-01"
"28",1,2020,"1",11,2020-01-11,59.3,48.1,1024.9,10,4.8,7,19,68,51.1,0,0,0,439,"11-01"
"29",2,2021,"1",31,2021-01-31,23.7,9.1,1025.9,9.3,4.8,7,14,32,17.1,0,0,0,297,"31-01"
"30",2,2023,"1",1,2023-01-01,52.4,43.7,1011.6,8.1,4.8,8.9,15,55,50,0.28,0,0,275,"01-01"
"31",4,2022,"1",25,2022-01-25,37.3,24.3,1012.6,9,4.9,8.9,15,42.1,26.1,0,0,0,235,"25-01"
"32",6,2020,"1",9,2020-01-09,28.2,6.2,1035.6,10,4.9,12,21,42.1,23,0,0,0,521,"09-01"
"33",3,2021,"1",25,2021-01-25,29,9,1019.6,10,5,11.1,17.1,37,21.9,0,0,0,260,"25-01"
"34",6,2024,"1",4,2024-01-04,40,23.8,1014.8,10,5.2,15,22.9,45,34,0,0,0,219,"04-01"
"35",1,2022,"1",22,2022-01-22,20.5,3.4,1029.3,10,5.2,11.1,17.1,28.9,12.9,0,0,0,267,"22-01"
"36",6,2020,"1",2,2020-01-02,39.6,22.4,1013.2,10,5.2,9.9,17.1,48.9,33.1,0,0,0,413,"02-01"
"37",7,2024,"1",26,2024-01-26,45.2,41.6,1019,6.3,5.2,11.1,33,59,42.1,0.25,0,0,267,"26-01"
"38",7,2020,"1",10,2020-01-10,41.4,29.3,1035.4,10,5.2,8.9,15.9,55,23,0,0,0,522,"10-01"
"39",3,2024,"1",15,2024-01-15,26.9,3.5,1022.4,10,5.3,8,15.9,44.1,23,0,0,0,197,"15-01"
