day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
4,2021,01,14,2021-01-14,42.9,28.4,1010.5,8.2,1.6,4.1,999.9,48.9,35.1,0.0,999.9,0,253
6,2022,01,01,2022-01-01,52.3,49.5,1009.6,6.5,1.9,7.0,999.9,55.9,48.0,0.0,999.9,0,283
4,2018,01,11,2018-01-11,44.7,36.7,1028.2,8.8,2.4,6.0,999.9,53.1,30.0,0.0,3.9,0,696
3,2016,01,06,2016-01-06,31.2,2.8,1034.2,10.0,2.4,7.0,999.9,41.0,10.9,0.0,999.9,0,625
2,2023,01,03,2023-01-03,51.6,47.7,1017.3,5.8,2.5,7.0,999.9,57.0,46.4,0.04,999.9,1,225
1,2021,01,11,2021-01-11,32.4,20.5,1025.4,10.0,2.7,5.1,999.9,41.0,28.0,0.0,999.9,0,238
1,2023,01,30,2023-01-30,48.1,34.8,1020.4,10.0,2.7,8.9,999.9,55.0,42.1,0.0,999.9,0,232
4,2022,01,13,2022-01-13,39.6,24.2,1016.3,9.8,2.7,7.0,999.9,48.0,35.1,0.0,999.9,0,268
5,2020,01,31,2020-01-31,37.9,27.9,1026.3,10.0,2.7,5.1,999.9,44.1,25.0,0.0,999.9,0,518
4,2014,01,09,2014-01-09,25.3,5.4,1035.2,10.0,2.8,8.0,999.9,32.0,9.0,0.0,999.9,0,561
6,2020,01,04,2020-01-04,48.6,46.2,1005.7,4.9,2.8,6.0,999.9,51.1,44.1,0.34,999.9,1,353
5,2014,01,10,2014-01-10,32.3,22.6,1033.3,6.4,2.9,7.0,999.9,36.0,21.9,0.0,999.9,0,667
7,2013,01,13,2013-01-13,45.3,43.1,1019.7,4.2,2.9,8.0,999.9,48.9,43.0,0.02,999.9,1,373
1,2016,01,25,2016-01-25,32.7,16.2,1022.9,9.6,2.9,6.0,999.9,39.0,19.9,0.0,22.0,0,658
2,2020,01,14,2020-01-14,42.3,36.2,1027.0,7.7,2.9,8.0,999.9,46.0,37.0,0.0,999.9,0,497
4,2016,01,07,2016-01-07,37.9,8.7,1027.2,10.0,2.9,8.0,999.9,46.0,25.0,0.0,999.9,0,542
3,2021,01,13,2021-01-13,38.9,22.9,1016.8,8.9,3.0,8.0,17.1,44.1,33.1,0.0,999.9,0,245
1,2024,01,01,2024-01-01,42.5,29.6,1016.1,9.8,3.0,6.0,999.9,46.9,37.9,0.01,999.9,0,246
4,2017,01,19,2017-01-19,42.1,35.0,1016.5,10.0,3.0,8.0,999.9,48.9,37.9,0.06,999.9,0,610
4,2015,01,29,2015-01-29,26.6,6.5,1024.2,10.0,3.1,6.0,999.9,34.0,16.0,0.0,7.9,0,519
4,2014,01,30,2014-01-30,21.2,0.2,1027.9,10.0,3.1,8.9,18.1,30.0,14.0,0.0,2.0,0,657
1,2023,01,02,2023-01-02,52.0,38.0,1018.6,10.0,3.1,6.0,999.9,55.9,48.9,0.0,999.9,0,206
2,2024,01,02,2024-01-02,35.7,21.5,1018.0,10.0,3.1,6.0,999.9,46.9,28.9,0.02,999.9,0,253
1,2017,01,16,2017-01-16,35.0,20.0,1029.7,10.0,3.1,7.0,999.9,43.0,30.0,0.0,1.2,0,477
1,2018,01,22,2018-01-22,45.1,37.0,1021.1,7.0,3.2,8.0,14.0,50.0,41.0,0.01,999.9,0,559
3,2023,01,04,2023-01-04,59.1,52.8,1010.1,8.3,3.2,8.9,999.9,66.0,46.9,0.4,999.9,0,251
5,2018,01,26,2018-01-26,30.7,4.8,1037.1,10.0,3.2,8.0,14.0,37.9,23.0,0.0,999.9,0,677
4,2024,01,25,2024-01-25,51.8,48.0,1020.9,5.2,3.3,7.0,14.0,59.0,37.9,0.19,999.9,0,252
7,2023,01,22,2023-01-22,38.4,25.1,1021.2,9.6,3.3,8.0,999.9,42.1,36.0,0.0,999.9,0,243
6,2024,01,27,2024-01-27,45.3,38.9,1021.3,8.3,3.3,9.9,32.1,48.9,42.1,0.03,999.9,0,243
1,2015,01,12,2015-01-12,36.9,23.7,1029.2,6.6,3.3,8.9,15.0,37.9,35.1,0.01,1.2,0,580
3,2014,01,15,2014-01-15,42.6,37.5,1009.9,8.8,3.3,6.0,999.9,46.9,39.2,0.38,999.9,0,583
7,2015,01,18,2015-01-18,35.1,27.8,1021.2,5.7,3.3,6.0,999.9,42.8,30.0,0.0,999.9,1,961
2,2023,01,31,2023-01-31,40.8,28.8,1020.6,9.3,3.3,8.9,999.9,55.0,34.0,0.03,999.9,0,261
2,2021,01,12,2021-01-12,37.3,23.0,1019.9,9.4,3.4,6.0,999.9,44.1,28.0,0.0,999.9,0,279
7,2018,01,21,2018-01-21,46.0,28.3,1019.4,10.0,3.4,7.0,999.9,52.0,37.9,0.0,999.9,0,418
2,2023,01,17,2023-01-17,41.0,12.6,1006.8,10.0,3.4,7.0,999.9,48.0,28.0,0.0,999.9,0,256
