vehicle_type_code1,collision_count
Sedan,599688
Station Wagon/Sport Utility Vehicle,471451
PASSENGER VEHICLE,416206
SPORT UTILITY / STATION WAGON,180291
LIVERY VEHICLE,10481
PICK-UP TRUCK,11505
LARGE COM VEH(6 OR MORE TIRES),14397
4 dr sedan,40180
Taxi,53024
2 dr sedan,2653
OTHER,22968
Pick-up Truck,35930
UNKNOWN,19938
SMALL COM VEH(4 TIRES) ,13216
TAXI,31911
VAN,25266
Bus,22460
BUS,13993
Bike,16089
Tractor Truck Diesel,10736
Ambulance,4718
Flat Bed,2501
AMBULANCE,2685
TRUCK,214
Moped,2269
Tractor Truck Gasoline,1620
Box Truck,25140
subn,150
Carry All,1982
BOX TRUCK,27
E-Bike,3569
Military v,1
Skateboard,3
BICYCLE,559
Dump,3964
Motorcycle,8786
Tanker,845
E-Scooter,2463
MOTORCYCLE,4195
Motorbike,549
Chassis Cab,929
Tow Truck / Wrecker,1404
Convertible,3902
3-Door,328
SCOOT,37
Stake or Rack,183
Open Body,78
FIRE TRUCK,877
Van,9260
self insur,1
SUBN WHI,1
pick,31
Concrete Mixer,503
Refrigerated Van,478
C1,10
School Bus,205
SCOOTER,278
PICK UP,26
AMBUL,376
Garbage or Refuse,2377
PK,2652
COMME,53
commercial,6
WAGON,18
van,439
Box t,6
BUS (OMNIB,1
kenwo,1
van c,1
Flat Rack,407
Truck,51
TRAIL,169
FDNY FIRE,32
WHITE,6
Beverage Truck,301
Armored Truck,353
mcy,4
GOLF CART,14
Motorscooter,803
scoot,16
Trailer,32
utili,13
DOT TRUCK,1
USPS,72
Multi-Wheeled Vehicle,115
LADDER CO,1
AMULANCE,1
SEDAN,8
Bulk Agriculture,73
Trail,40
TRACT,82
Pvt Ambula,1
SCHOOL BUS,32
TRACTOR,7
AMBU,81
FDNY LADDE,5
E-Bik,89
PSD,15
DELV,49
GARBAGE TR,19
tract,23
Firet,5
MOTOR,18
DELIV,54
LIGHT,4
E-Sco,111
YW SCHOOL,1
FIRE,161
SPC,10
passenger,2
GOVENMENT,1
Lift Boom,239
MTA,7
LIMO,309
