rounded_latitude,rounded_longitude,no_of_collisions
40.696,-73.9845,1372
40.6757,-73.8969,1016
40.7606,-73.9643,947
40.6586,-73.8906,946
40.8619,-73.9128,913
40.7335,-73.8704,851
40.6782,-73.8975,821
40.6685,-73.9256,781
40.838,-73.8733,753
40.68,-73.8774,716
40.7572,-73.9898,700
40.7015,-73.9896,689
40.7203,-73.994,681
40.6088,-74.0381,672
40.7045,-73.8174,672
40.7832,-73.9447,664
40.759,-73.9959,664
40.7241,-73.9926,663
40.6762,-73.9081,648
40.8028,-73.9336,647
40.7608,-73.9983,638
40.7489,-73.9374,632
40.7461,-73.9749,624
40.8481,-73.9309,622
40.6688,-73.9311,610
40.7198,-73.9448,609
40.8786,-73.8716,606
40.6562,-73.7674,602
40.7593,-73.9653,599
40.8047,-73.9124,597
40.7584,-73.9926,578
40.7476,-73.9767,574
40.7612,-73.9639,560
40.6787,-73.953,559
40.7631,-73.9625,559
40.6917,-73.9993,548
40.8134,-73.9563,548
40.7596,-73.9955,545
40.7448,-73.9759,545
40.7546,-73.7432,530
40.7194,-74.0019,529
40.7503,-73.9948,528
40.634,-74.0148,525
40.7605,-73.9584,524
40.72,-73.9929,524
40.7184,-74.0005,512
40.6547,-73.9069,510
40.7186,-73.9882,510
40.6695,-73.92,507
40.7548,-73.9841,505
40.6098,-73.9225,504
40.756,-73.9869,502
40.746,-73.9344,500
40.8617,-73.8914,500
40.6936,-73.9833,497
40.751,-73.9906,497
40.759,-73.9939,493
40.6425,-73.8765,491
40.8954,-73.8636,491
40.6242,-73.9705,489
40.6891,-73.9907,489
40.6667,-73.7671,483
40.6785,-73.9497,483
40.8202,-73.8907,476
40.7708,-73.9173,473
40.6844,-73.9784,471
40.7643,-73.9772,468
40.5705,-74.1098,467
40.6818,-73.9675,467
40.8203,-73.8908,467
40.7647,-73.8235,466
40.6763,-73.9109,465
40.7615,-73.9606,465
40.7983,-73.8274,463
40.6661,-73.8222,463
40.6686,-73.9283,460
40.6937,-73.8522,459
40.7612,-73.9579,458
40.6899,-73.9815,452
40.669,-73.9339,448
40.7689,-73.949,445
40.8263,-73.8597,445
40.7409,-73.8996,445
40.7664,-73.8876,444
40.7118,-73.8598,441
40.6042,-74.052,440
40.8688,-73.8317,440
40.7026,-73.8553,437
40.8078,-73.9455,436
40.7498,-73.9722,431
40.7376,-73.8509,430
40.6915,-73.9991,429
40.8637,-73.9171,427
40.6912,-73.9978,425
40.7521,-74.001,425
40.6701,-73.9553,424
40.7457,-73.9781,422
40.8571,-73.8808,421
40.7578,-73.9931,420
40.6528,-73.8863,418
40.7619,-73.9634,418
40.886,-73.8279,418
40.6961,-73.9871,415
40.7254,-73.9968,415
40.6653,-73.7396,412
40.7255,-73.8378,412
40.6807,-73.8446,412
40.6672,-73.77,411
40.6321,-73.9186,410
40.7429,-73.9928,409
40.8454,-73.914,408
40.6889,-73.9809,407
40.7595,-73.9993,407
40.7676,-73.95,407
40.8169,-73.8827,407
40.7447,-73.9336,406
40.76,-73.9648,405
40.6596,-73.7738,404
40.6541,-73.9123,402
40.7599,-73.9588,402
40.8947,-73.8614,401
40.8627,-73.909,399
40.8036,-73.9198,398
40.8186,-73.9273,397
40.6699,-73.9505,396
40.7549,-73.7455,396
40.8654,-73.8704,396
40.6756,-73.8988,393
40.7625,-73.963,391
40.6807,-73.9026,390
40.6057,-74.0309,389
40.8216,-73.9391,389
40.8256,-73.9185,389
40.8174,-73.9228,388
40.7374,-73.9968,386
40.8157,-73.9583,386
40.6662,-73.761,383
40.6982,-73.9619,382
40.7044,-73.9949,382
40.8628,-73.9011,380
40.763,-73.974,379
40.711,-73.7281,378
40.7643,-73.973,377
40.6504,-73.9587,377
40.7602,-73.9675,376
40.6517,-73.9304,375
40.8044,-73.9374,375
40.6962,-73.9888,374
40.7377,-73.8521,373
40.6266,-73.9709,372
40.6549,-73.9619,372
40.718,-74.0,371
40.7522,-73.9935,369
40.7333,-73.9872,368
40.8452,-73.9112,367
40.5973,-73.9987,364
40.6719,-73.8959,364
40.7555,-73.7417,364
40.785,-73.9406,364
40.7667,-73.9829,364
40.7368,-73.8777,364
40.6772,-73.8972,363
