day_of_week,time,no_of_collisions
6,17:00:00,4727
6,15:00:00,4679
6,16:00:00,4649
5,16:00:00,4394
3,16:00:00,4365
3,17:00:00,4364
4,17:00:00,4329
5,17:00:00,4315
6,18:00:00,4305
2,16:00:00,4294
4,16:00:00,4278
5,15:00:00,4236
4,15:00:00,4209
3,15:00:00,4201
2,17:00:00,4200
2,15:00:00,4121
3,18:00:00,4099
4,18:00:00,4068
6,14:00:00,4062
5,18:00:00,4043
5,14:00:00,3886
3,09:00:00,3862
3,14:00:00,3831
2,09:00:00,3769
6,13:00:00,3755
2,14:00:00,3753
5,09:00:00,3737
4,14:00:00,3720
7,16:00:00,3703
2,18:00:00,3677
5,13:00:00,3644
7,15:00:00,3628
3,13:00:00,3623
6,19:00:00,3617
2,08:00:00,3607
3,08:00:00,3586
5,08:00:00,3582
4,09:00:00,3548
6,09:00:00,3532
7,14:00:00,3518
2,13:00:00,3490
4,13:00:00,3480
6,12:00:00,3471
4,08:00:00,3464
7,17:00:00,3417
6,00:00:00,3401
6,08:00:00,3388
6,16:30:00,3373
3,10:00:00,3370
5,12:00:00,3339
7,13:00:00,3333
5,19:00:00,3333
3,12:00:00,3308
1,15:00:00,3282
3,19:00:00,3277
6,14:30:00,3273
2,10:00:00,3258
5,16:30:00,3251
4,19:00:00,3250
6,17:30:00,3242
1,14:00:00,3238
1,16:00:00,3238
6,10:00:00,3233
5,00:00:00,3224
7,18:00:00,3202
4,16:30:00,3186
3,11:00:00,3184
4,12:00:00,3179
2,12:00:00,3179
3,16:30:00,3166
5,10:00:00,3159
4,10:00:00,3136
5,11:00:00,3101
5,17:30:00,3097
3,17:30:00,3095
3,00:00:00,3095
4,17:30:00,3093
2,00:00:00,3084
2,16:30:00,3074
6,11:00:00,3073
4,00:00:00,3057
7,00:00:00,3050
2,11:00:00,3040
1,17:00:00,3040
2,19:00:00,3037
2,08:30:00,3036
3,08:30:00,3011
5,14:30:00,2988
5,08:30:00,2974
7,12:00:00,2969
3,14:30:00,2969
4,08:30:00,2966
4,14:30:00,2950
6,20:00:00,2944
6,08:30:00,2905
2,17:30:00,2894
1,13:00:00,2873
1,00:00:00,2866
2,14:30:00,2860
6,18:30:00,2847
3,09:30:00,2831
7,19:00:00,2827
1,18:00:00,2822
4,11:00:00,2818
4,18:30:00,2730
6,15:30:00,2713
5,09:30:00,2686
3,18:30:00,2661
5,18:30:00,2648
7,14:30:00,2643
2,09:30:00,2631
5,20:00:00,2612
6,13:30:00,2610
4,09:30:00,2578
6,09:30:00,2569
4,15:30:00,2553
6,12:30:00,2547
3,15:30:00,2536
1,19:00:00,2534
4,20:00:00,2534
2,18:30:00,2531
3,13:30:00,2524
3,20:00:00,2508
1,14:30:00,2488
7,11:00:00,2477
6,11:30:00,2474
7,16:30:00,2472
5,13:30:00,2470
7,20:00:00,2461
5,15:30:00,2459
2,13:30:00,2454
3,10:30:00,2451
1,12:00:00,2450
4,13:30:00,2435
3,12:30:00,2432
5,12:30:00,2427
4,12:30:00,2424
6,21:00:00,2407
7,10:00:00,2406
2,12:30:00,2402
5,11:30:00,2401
2,15:30:00,2393
3,11:30:00,2386
7,13:30:00,2373
5,10:30:00,2340
2,20:00:00,2327
6,19:30:00,2323
1,16:30:00,2306
7,21:00:00,2277
6,10:30:00,2273
7,22:00:00,2262
7,17:30:00,2262
2,11:30:00,2254
4,11:30:00,2250
1,20:00:00,2237
2,10:30:00,2231
7,12:30:00,2193
4,10:30:00,2183
6,22:00:00,2182
5,21:00:00,2180
7,18:30:00,2160
5,19:30:00,2144
1,11:00:00,2130
4,19:30:00,2077
3,19:30:00,2062
7,23:00:00,2030
1,21:00:00,2017
1,17:30:00,2012
4,21:00:00,2008
7,11:30:00,2001
7,19:30:00,1986
1,13:30:00,1978
7,09:00:00,1970
3,21:00:00,1961
7,15:30:00,1951
6,23:00:00,1944
1,18:30:00,1943
2,19:30:00,1935
5,22:00:00,1901
2,21:00:00,1864
1,12:30:00,1831
2,07:00:00,1825
1,15:30:00,1816
6,20:30:00,1813
7,10:30:00,1806
1,22:00:00,1790
3,07:00:00,1781
4,22:00:00,1770
1,10:00:00,1758
7,20:30:00,1754
5,07:00:00,1737
5,20:30:00,1737
6,07:00:00,1716
4,07:00:00,1701
3,22:00:00,1670
1,19:30:00,1667
6,22:30:00,1653
6,21:30:00,1645
7,22:30:00,1642
7,08:00:00,1627
7,21:30:00,1626
1,11:30:00,1623
3,20:30:00,1576
4,20:30:00,1551
4,07:30:00,1547
5,23:00:00,1540
2,22:00:00,1537
1,01:00:00,1519
1,09:00:00,1517
7,09:30:00,1517
6,16:45:00,1513
6,07:30:00,1500
1,23:00:00,1499
6,14:45:00,1497
1,20:30:00,1496
6,16:15:00,1492
4,21:30:00,1482
2,07:30:00,1470
5,21:30:00,1461
6,16:20:00,1452
2,20:30:00,1444
3,07:30:00,1433
6,17:45:00,1426
5,07:30:00,1414
3,16:45:00,1414
6,14:50:00,1413
5,16:45:00,1411
4,17:15:00,1410
6,17:15:00,1409
1,10:30:00,1403
6,17:20:00,1402
5,14:45:00,1397
6,15:15:00,1397
3,16:20:00,1396
4,14:45:00,1394
5,17:45:00,1385
7,01:00:00,1383
2,16:45:00,1371
1,08:00:00,1369
5,16:20:00,1368
6,16:50:00,1362
3,17:15:00,1362
4,23:00:00,1358
4,16:20:00,1357
5,17:15:00,1355
3,23:00:00,1355
3,16:15:00,1354
5,14:50:00,1354
2,17:15:00,1353
3,14:45:00,1351
1,21:30:00,1349
5,16:15:00,1347
4,16:45:00,1343
3,21:30:00,1341
4,14:50:00,1340
1,22:30:00,1338
3,08:45:00,1335
4,16:15:00,1332
6,14:20:00,1326
3,16:40:00,1326
1,00:30:00,1326
4,08:15:00,1323
3,08:15:00,1323
2,17:45:00,1322
3,17:20:00,1322
3,17:45:00,1321
3,14:50:00,1321
4,17:20:00,1313
4,17:50:00,1303
2,16:15:00,1302
3,16:50:00,1301
5,08:15:00,1301
4,15:15:00,1300
6,16:40:00,1300
4,16:40:00,1300
1,04:00:00,1299
5,15:15:00,1295
6,17:50:00,1293
4,17:45:00,1291
5,17:50:00,1289
5,17:20:00,1287
2,14:50:00,1285
2,08:45:00,1283
4,14:20:00,1282
2,16:20:00,1281
3,09:15:00,1280
3,08:50:00,1280
5,16:40:00,1278
1,02:00:00,1271
5,22:30:00,1270
5,18:15:00,1269
4,18:15:00,1267
6,17:40:00,1265
5,16:50:00,1264
6,14:40:00,1264
3,17:50:00,1263
7,08:30:00,1262
4,08:45:00,1262
3,08:20:00,1261
1,05:00:00,1260
4,14:40:00,1253
6,15:20:00,1252
6,08:45:00,1252
4,16:50:00,1242
2,08:15:00,1238
5,08:45:00,1237
2,23:00:00,1235
1,03:00:00,1233
6,14:15:00,1233
2,17:20:00,1232
2,14:45:00,1231
6,15:45:00,1231
4,22:30:00,1229
7,00:30:00,1222
6,08:15:00,1220
7,23:30:00,1220
2,14:20:00,1220
3,17:40:00,1219
5,14:20:00,1218
3,14:20:00,1215
5,14:40:00,1209
6,18:15:00,1207
4,18:20:00,1205
6,18:20:00,1199
5,08:20:00,1199
2,21:30:00,1199
5,17:40:00,1199
3,08:40:00,1197
2,16:40:00,1195
4,08:50:00,1193
6,15:50:00,1191
2,16:50:00,1191
4,08:20:00,1191
4,15:45:00,1184
2,17:50:00,1184
7,02:00:00,1180
7,14:45:00,1179
4,08:40:00,1178
2,15:15:00,1178
3,15:15:00,1177
6,08:20:00,1175
5,09:15:00,1175
6,23:30:00,1174
4,17:40:00,1173
2,09:15:00,1172
3,14:40:00,1171
6,18:45:00,1160
5,08:50:00,1159
3,14:15:00,1158
1,09:30:00,1156
5,18:20:00,1155
3,22:30:00,1149
5,15:45:00,1148
6,09:15:00,1148
6,18:50:00,1148
2,08:50:00,1147
5,15:50:00,1147
2,15:20:00,1146
3,15:45:00,1143
4,14:15:00,1143
4,15:40:00,1141
7,14:20:00,1139
7,16:20:00,1138
4,15:20:00,1138
5,08:40:00,1137
6,08:50:00,1137
6,13:50:00,1136
6,12:15:00,1136
3,09:20:00,1136
7,16:15:00,1134
2,09:45:00,1133
6,15:40:00,1130
3,09:45:00,1129
3,18:15:00,1122
5,18:45:00,1121
2,06:30:00,1120
5,15:20:00,1120
2,08:20:00,1120
5,14:15:00,1119
3,15:20:00,1119
5,12:15:00,1118
2,15:45:00,1116
7,04:00:00,1113
2,18:20:00,1113
4,18:45:00,1111
2,14:40:00,1109
3,13:15:00,1106
6,11:45:00,1106
6,13:45:00,1106
1,01:30:00,1105
6,12:45:00,1105
4,09:15:00,1104
5,10:15:00,1104
2,17:40:00,1104
6,06:30:00,1101
7,14:15:00,1100
4,06:30:00,1097
3,12:45:00,1096
3,11:45:00,1094
2,08:40:00,1094
7,03:00:00,1094
5,09:20:00,1093
5,09:45:00,1090
3,12:15:00,1090
6,09:20:00,1088
7,14:50:00,1085
6,13:40:00,1084
4,10:15:00,1084
2,18:15:00,1084
3,13:20:00,1083
3,18:45:00,1081
2,11:45:00,1081
6,15:10:00,1079
5,13:50:00,1078
2,14:15:00,1078
3,06:30:00,1078
3,18:20:00,1078
