vehicle_type_code1,collision_count
Sedan,600517
Station Wagon/Sport Utility Vehicle,472068
PASSENGER VEHICLE,416206
SPORT UTILITY / STATION WAGON,180291
Taxi,53071
4 dr sedan,40180
Pick-up Truck,35975
TAXI,31911
VAN,25266
Box Truck,25160
OTHER,22968
Bus,22513
UNKNOWN,19938
Bike,16138
,14523
LARGE COM VEH(6 OR MORE TIRES),14397
BUS,13993
SMALL COM VEH(4 TIRES) ,13216
PICK-UP TRUCK,11505
Tractor Truck Diesel,10748
LIVERY VEHICLE,10481
Van,9271
Motorcycle,8810
Ambulance,4729
MOTORCYCLE,4195
Dump,3973
Convertible,3905
E-Bike,3584
AMBULANCE,2687
PK,2655
2 dr sedan,2653
Flat Bed,2505
E-Scooter,2482
Garbage or Refuse,2383
Moped,2290
Carry All,1984
Tractor Truck Gasoline,1620
Tow Truck / Wrecker,1405
Chassis Cab,932
FIRE TRUCK,877
Tanker,846
Motorscooter,806
BICYCLE,559
Motorbike,550
Concrete Mixer,503
Refrigerated Van,479
van,440
Flat Rack,408
AMBUL,376
Armored Truck,353
3-Door,329
LIMO,311
Beverage Truck,301
SCOOTER,278
Lift Boom,239
TRUCK,214
School Bus,205
Stake or Rack,184
TRAIL,169
MOPED,167
FIRE,161
subn,153
FDNY,133
Multi-Wheeled Vehicle,115
Snow Plow,113
E-Sco,111
ambul,99
E-Bik,89
DUMP,89
TRACT,82
AMBU,81
Ambul,81
Open Body,78
TRAILER,74
Bulk Agriculture,73
USPS,72
Pedicab,69
UNKNO,67
ambulance,67
COM,64
Pickup with mounted Camper,58
trail,56
DELIV,54
COMME,53
SCHOO,51
Truck,51
Tow Truck,49
DELV,49
Fire,46
UNK,46
UTILI,46
Pallet,45
FIRETRUCK,44
moped,43
TOW T,43
truck,42
FIRET,40
FDNY AMBUL,40
Trail,40
Lunch Wagon,39
PAS,38
TOW TRUCK,38
fire,38
AMB,38
SCOOT,37
Minibike,37
Fire Truck,36
UTIL,36
BOX T,36
Motorized Home,34
FORKL,34
bus,34
Van Camper,33
SCHOOL BUS,32
Trailer,32
FDNY FIRE,32
pick,31
ELECT,31
Fire truck,29
dump,28
Minicycle,28
FDNY TRUCK,27
BOX TRUCK,27
COMMERCIAL,26
PICK UP,26
PEDICAB,25
Hopper,25
RV,24
fdny,24
tract,23
schoo,23
TANK,23
FLAT,23
unk,22
Commercial,22
Scooter,22
FORD,22
TRAC,20
trailer,20
TRL,19
TRK,19
Firetruck,19
SELF,19
GARBAGE TR,19
ambu,19
STREE,19
MOTOR,18
box t,18
FREIG,18
WAGON,18
Vanette,17
GARBA,17
unkno,17
MTA BUS,17
REFG,17
garba,17
scoot,16
MACK,16
POSTA,16
OMR,16
PSD,15
SUV,15
SANIT,15
deliv,15
PICKU,14
GOLF CART,14
